Language name,Alternate language names,Country,Region,Resource Title,Resource URL,Resource type,,,,,,,,
Laiholh,Hakha Chin,"Myanmar, India, Bangladesh","Southeast Asia, South Asia",Information and prevention page from Indiana University,http://chinlanguages.org/coronavirus?fbclid=IwAR20_cSLLkpgu-vMW_aoVIa9fCZ8BXBPAaaS_ep4TUmZPk5JB4B728WGffQ,,,,,,,,,
Breton,Brezhoneg,France,Europe,Prevention poster,http://plancq.clement.free.fr/covid-19/gestes-barrieres-breton.jpg,,,,,,,,,
Flemish,"Vlaams, Flamand","Belgium, France, Netherlands",Europe,Prevention poster from Belgian government,http://plancq.clement.free.fr/covid-19/gestes-barrieres-flamand.jpg,,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-burmese/,,,,,,,,,
French,français,,"Europe, Africa, North America",Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-french/,,,,,,,,,
Kinyarwanda,,"Rwanda, DR Congo, Uganda, Burundi",Africa,Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-kinyarwanda/,,,,,,,,,
Masalit,,Sudan,Africa,Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-masalit/,,,,,,,,,
Nepali,नेपाली,"Nepal, India",South Asia,Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-nepali/,,,,,,,,,
Pashto,پښتو,"Afghanistan, Pakistan",Near East,Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-pashto/,,,,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-somali/,,,,,,,,,
Spanish,español,Spanish (espaÑol):,"Europe, South America, Mexico-Central America-Caribbean",Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-spanish/,,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,Refugee Development Center audio message,http://refugeedevelopmentcenter.org/coronavirus-announcements-swahili/,,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,How to use hand sanitizer,http://themimu.info/sites/themimu.info/files/documents/Guide_How_to_Hand_Rub_WHO_MMR.pdf,,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,Hand washing poster,http://themimu.info/sites/themimu.info/files/documents/Guide_How_to_Hand_Wash_WHO_MMR.pdf,,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,Prevention slides,http://themimu.info/sites/themimu.info/files/documents/Guide_Protect_Yourself_Others_from_Getting_Sick_WHO_MMR.pdf,,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,Prevention infographic,http://themimu.info/sites/themimu.info/files/documents/Guide_Ways_to_Reduce_the_Risk_of_Corona_Virus_Infection_WHO_MMR.pdf,,,,,,,,,
Burmese,မြန်မာဘာသာ,Myanmar,Southeast Asia,How/why to use a face mask,http://themimu.info/sites/themimu.info/files/documents/Guide_When_to_Use_a_Mask_WHO_MMR.pdf,,,,,,,,,
"Tibetan, Standard","བོད་སྐད་, Bod skad, Böké",Tibet,East Asia,Translated UK NHS information from Tibet Times,http://tibettimes.net/2020/04/08/184756/,,,,,,,,,
Punjabi,ਪੰਜਾਬੀ,India,South Asia,BC PHSA questions and answers,http://www.bccdc.ca/Health-Info-Site/Documents/Coronavirus FAQ Punjabi.pdf,,,,,,,,,
Farsi ,"فارسی, Persian","Afghanistan, Azerbaijan, Iran, Iraq, Russia, Tajikistan, Uzbekistan",Near East,BC PHSA questions and answers,http://www.bccdc.ca/Health-Info-Site/Documents/Coronavirus_FAQ_Farsi.pdf,,,,,,,,,
Farsi ,"فارسی, Persian","Afghanistan, Azerbaijan, Iran, Iraq, Russia, Tajikistan, Uzbekistan",Near East,British Columbia PHSA social distancing guide,http://www.bccdc.ca/Health-Info-Site/Documents/PhysicalDistancing_Farsi.pdf,,,,,,,,,
Punjabi,ਪੰਜਾਬੀ,India,South Asia,British Columbia PHSA social distancing guide,http://www.bccdc.ca/Health-Info-Site/Documents/PhysicalDistancing_Punjabi.pdf,,,,,,,,,
Armenian,հայերեն,Armenia,Europe,LA County fact sheet,http://www.publichealth.lacounty.gov/media/Coronavirus/CoronavirusInfographicArmenian.pdf,,,,,,,,,
Amharic,አማርኛ,Ethiopia,Africa,Hesperian prevention and information page,https://am.hesperian.org/hhg/%E1%8A%AE%E1%88%AE%E1%8A%93%E1%89%AB%E1%8B%AD%E1%88%A8%E1%88%B5,,,,,,,,,
Arabic,العربية,Arabic (العربية):,Near East,Hesperian prevention and information page,https://ar.hesperian.org/hhg/%D8%A7%D9%84%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D8%A7%D9%84%D8%AA%D8%A7%D8%AC%D9%8A,,,,,,,,,
Ajumbu,Mbu',Cameroon,Africa,Information video from VirALLanguages,https://archive.org/details/virallanguages_Ajumbu_V1,,,,,,,,,
Bengali,"বাংলা, Bangla","India, Bangladesh",South Asia,Hesperian info and prevention page,https://bn.hesperian.org/hhg/%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%AD%E0%A6%BE%E0%A6%87%E0%A6%B0%E0%A6%BE%E0%A6%B8,,,,,,,,,
Lingala,,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,CDC audio message,https://cdn.branchcms.com/DZAwJB3wVW-1030/docs/COVID-19/LINGALA-COVID-19-Audio.m4a,,,,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,CDC audio message,https://cdn.branchcms.com/DZAwJB3wVW-1030/docs/COVID-19/SOMALI-COVID-19-Audio.m4a,,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,CDC audio message,https://cdn.branchcms.com/DZAwJB3wVW-1030/docs/COVID-19/SWAHILI-COVID-19-Audio.m4a,,,,,,,,,
Dari,دری,Afghanistan,Near East,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Dari.jpg,Image/poster,,,,,,,,
Hindi,हिन्दी,India,South Asia,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Hindi.jpg,Image/poster,,,,,,,,
Khmer,ភាសាខ្មែរ,"Cambodia, Thailand, Vietnam",Southeast Asia,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Khmer.jpg,Image/poster,,,,,,,,
Kinyarwanda,,"Rwanda, DR Congo, Uganda, Burundi",Africa,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Kinyarwanda.jpg,Image/poster,,,,,,,,
Lingala,,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Lingala.jpg,Image/poster,,,,,,,,
Portuguese,Português,,"Europe, South America, Africa",CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_PORT.jpg,Image/poster,,,,,,,,
Somali,Af-Soomaali,"Somalia, Kenya",Africa,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Somali.jpg,Image/poster,,,,,,,,
Swahili,Kiswahili,"Kenya, Tanzania, Uganda, Burundi, DRC",Africa,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Swahili.jpg,Image/poster,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Viet.jpg,Image/poster,,,,,,,,
Azerbaijani,"Azeri, Azərbaycan dili, آذربایجان دیلی, Азәрбајҹан дили",Azerbaijan,Near East,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-17-share-facts-h_Azerbaijani.jpg,Image/poster,,,,,,,,
Farsi ,"فارسی, Persian","Afghanistan, Azerbaijan, Iran, Iraq, Russia, Tajikistan, Uzbekistan",Near East,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-17-share-facts-h_Farsi.jpg,Image/poster,,,,,,,,
Pashto,پښتو,"Afghanistan, Pakistan",Near East,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-17-share-facts-h_Pashto.jpg,Image/poster,,,,,,,,
Serbian,српски,"Serbia, Bosnia, Croatia",Europe,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-17-share-facts-h_Serbian_Serbo-Croatian.jpg,Image/poster,,,,,,,,
Dari,دری,Afghanistan,Near East,CDC &ldquo,stop the spread&rdquo, poster,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/Dari-CDC-stop-the-spread-of-germs-poster.jpg,Image/poster,,,,,,
Farsi ,"فارسی, Persian","Afghanistan, Azerbaijan, Iran, Iraq, Russia, Tajikistan, Uzbekistan",Near East,CDC &ldquo,stop the spread&rdquo, poster,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/Farsi-CDC-stop-the-spread-of-germs-poster.jpg,Image/poster,,,,,,
Pashto,پښتو,"Afghanistan, Pakistan",Near East,CDC &ldquo,stop the spread&rdquo, poster,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/Pashto-CDC-stop-the-spread-of-germs.jpg,Image/poster,,,,,,
Portuguese,Português,,"Europe, South America, Africa",CDC &ldquo,stop the spread&rdquo, poster,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/Portuguese-CDC-stop-the-spread-of-germs-poster.jpg,Image/poster,,,,,,
Tigrinya,ትግርኛ,"Eritrea, Ethiopia",Africa,CDC &ldquo,stop the spread&rdquo, poster,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/Tigrinya-CDC-stop-the-spread-of-germs-poster.jpg,Image/poster,,,,,,
Ukrainian,українська мова,Ukraine,Europe,CDC &ldquo,stop the spread&rdquo, poster,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/Ukrainian-Stop-the-spread-of-germs.jpg,Image/poster,,,,,,
Mandarin Chinese,中文,China,East Asia,"Washington, DC symptoms poster",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/COVID19 Symptoms_Chinese.pdf,,,,,,,,,
Korean,한국어,Korea,East Asia,"Washington, DC symptoms poster",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/COVID19 Symptoms_Korean.pdf,,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,"Washington, DC symptoms poster",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/COVID19 Symptoms_Vietnamese.pdf,,,,,,,,,
Amharic,አማርኛ,Ethiopia,Africa,"Washington, DC symptoms poster",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/COVID19_Symptoms_Amharic.pdf,,,,,,,,,
Amharic,አማርኛ,Ethiopia,Africa,"Washington, DC high risk/senior guidance",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/publication/attachments/High Risk Senior Guidance_Facebook AMHARIC.pdf,,,,,,,,,
Mandarin Chinese,中文,China,East Asia,"Washington, DC high risk/senior guidance",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/publication/attachments/High Risk Senior Guidance_Facebook CHINESE.pdf,,,,,,,,,
French,français,,"Europe, Africa, North America","Washington, DC high risk/senior guidance",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/publication/attachments/High Risk Senior Guidance_Facebook FRENCH.pdf,,,,,,,,,
Korean,한국어,Korea,East Asia,"Washington, DC high risk/senior guidance",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/publication/attachments/High Risk Senior Guidance_Facebook KOREAN.pdf,,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,"Washington, DC high risk/senior guidance",https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/publication/attachments/High Risk Senior Guidance_Facebook VIETNAMESE.pdf,,,,,,,,,
Amharic,አማርኛ,Ethiopia,Africa,"Washington, DC how to take your oral temperature",https://coronavirus.dc.gov/sites/default/files/u65602/How to take your Oral Temperature_Amharic_3102020_r1.pdf,,,,,,,,,
Mandarin Chinese,中文,China,East Asia,"Washington, DC how to take your oral temperature",https://coronavirus.dc.gov/sites/default/files/u65602/How to take your Oral Temperature_Chinese_3102020_r1.pdf,,,,,,,,,
French,français,,"Europe, Africa, North America","Washington, DC how to take your oral temperature",https://coronavirus.dc.gov/sites/default/files/u65602/How to take your Oral Temperature_FRENCH_3102020_r1.pdf,,,,,,,,,
Korean,한국어,Korea,East Asia,"Washington, DC how to take your oral temperature",https://coronavirus.dc.gov/sites/default/files/u65602/How to take your Oral Temperature_Korean_3102020_r1.pdf,,,,,,,,,
Vietnamese,Tiếng Việt,Vietnam,Southeast Asia,"Washington, DC How to take your oral temperature",https://coronavirus.dc.gov/sites/default/files/u65602/How to take your Oral Temperature_Vietnamese_3102020_r1_.pdf,,,,,,,,,
Māori,,New Zealand,Pacific,NZ protection and prevention poster,https://covid19.govt.nz/assets/resources/COVID-19_Key-Message_A4-Posters_Protect_Te-Reo.pdf,,,,,,,,,
Cook Island Māori,,"Cook Islands, New Zealand",Pacific,NZ fact sheet,https://covid19.govt.nz/assets/translations/COVID19_A4_translation_COOK_ISLANDS_MAORI.pdf,,,,,,,,,
Māori,,New Zealand,Pacific,NZ fact sheet,https://covid19.govt.nz/assets/translations/COVID19_A4_translation_COOK_ISLANDS_MAORI.pdf,,,,,,,,,
Niuean,ko e vagahau Niuē,Niue,Pacific,NZ fact sheet,https://covid19.govt.nz/assets/translations/COVID19_A4_translation_NIUEAN.pdf,,,,,,,,,
Samoan,Gagana faʻa Sāmoa,Samoa,Pacific,NZ fact sheet,https://covid19.govt.nz/assets/translations/COVID19_A4_translation_SAMOAN.pdf,,,,,,,,,
Tokelauan,,"Tokelau, New Zealand",Pacific,NZ fact sheet,https://covid19.govt.nz/assets/translations/COVID19_A4_translation_TOKELAUAN.pdf,,,,,,,,,
Tongan,lea fakatonga,Tonga,Pacific,NZ fact sheet,https://covid19.govt.nz/assets/translations/COVID19_A4_translation_TONGAN.pdf,,,,,,,,,
Tongan,lea fakatonga,Tonga,Pacific, NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L3-Your-stay-at-home-plan-A4-TONGAN.pdf,,,,,,,,,
Cook Island Māori,,"Cook Islands, New Zealand",Pacific,NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L4-Your-stay-at-home-plan-A4-COOK-ISLAND-MAORI.pdf,,,,,,,,,
Niuean,ko e vagahau Niuē,Niue,Pacific, NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L4-Your-stay-at-home-plan-A4-NIUEAN.pdf,,,,,,,,,
Samoan,Gagana faʻa Sāmoa,Samoa,Pacific,NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L4-Your-stay-at-home-plan-A4-SAMOAN.pdf,,,,,,,,,
Māori,,New Zealand,Pacific,NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L4-Your-stay-at-home-plan-A4-TE-REO.pdf,,,,,,,,,
Tokelauan,,"Tokelau, New Zealand",Pacific, NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L4-Your-stay-at-home-plan-A4-TOKELAUAN.pdf,,,,,,,,,
Tuvaluan,Te’gana Tūvalu,"Tuvalu, Fiji, Kiribati, New Zealand",Pacific,NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L4-Your-stay-at-home-plan-A4-TUVALUAN.pdf,,,,,,,,,
Cook Island Māori,,"Cook Islands, New Zealand",Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/factsheet-for-level-3-cook-islands-maori.pdf,,,,,,,,,
Fijian,Na vosa vaka-Viti,Fiji,Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/factsheet-for-level-3-fijian.pdf,,,,,,,,,
Niuean,ko e vagahau Niuē,Niue,Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/factsheet-for-level-3-niuean.pdf,,,,,,,,,
Samoan,Gagana faʻa Sāmoa,Samoa,Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/factsheet-for-level-3-samoan.pdf,,,,,,,,,
Tokelauan,,"Tokelau, New Zealand",Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/Factsheet-for-Level-3-Tokelau-F.pdf,,,,,,,,,
Tuvaluan,Te’gana Tūvalu,"Tuvalu, Fiji, Kiribati, New Zealand",Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/factsheet-for-level-3-tuvaluan.pdf,,,,,,,,,
Māori,,New Zealand,Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/Te-Reo-Level-3-factsheet.pdf,,,,,,,,,
Tongan,lea fakatonga,Tonga,Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/Tongan-level-3-factsheet.pdf,,,,,,,,,
New Zealand Sign Language,NZSL,New Zealand,Pacific,NZ government prevention and info videos,https://covid19.govt.nz/resources-and-translation/new-zealand-sign-language/,,,,,,,,,
"Tibetan, Standard","བོད་སྐད་, Bod skad, Böké",Tibet,East Asia,Tibet Action Institute information website,https://covid19.tibcert.org/?lang=bo,,,,,,,,,
Kiribati,"Taetae ni Kiribati, Gilbertese",Kiribati,Pacific,WHO myth busters information page,https://covid-no-mb.org/?page_id=101,Web page,,,,,,,,
Xitsonga,Tsonga,"South Africa, Zimbabwe, Mozambique",Africa,WHO myth busters information,https://covid-no-mb.org/?page_id=103,Web page,,,,,,,,
Konkomba,Lipakpaln,Ghana,Africa,WHO myth busters page,https://covid-no-mb.org/?page_id=123,Web page,,,,,,,,
Sepedi,"Pedi, Northern Sotho",South Africa,Africa,WHO myth busters information,https://covid-no-mb.org/?page_id=128,Web page,,,,,,,,
Sesotho,Sotho,"Lesotho, South Africa, Zimbabwe",Africa,WHO myth busters information,https://covid-no-mb.org/?page_id=132,Web page,,,,,,,,
